iter	Logloss
140	0.4431544403
141	0.4425461485
142	0.4418691767
143	0.4407911384
144	0.4390637038
145	0.4379786623
146	0.4371497001
147	0.4365968289
148	0.4358600172
149	0.4352848129
150	0.4347625675
151	0.4340653247
152	0.433748677
153	0.4334962367
154	0.4328148112
155	0.4320837771
156	0.4318276878
157	0.4309207357
158	0.4300542561
159	0.4292551897
160	0.4280299561
161	0.4264317166
162	0.4255805186
163	0.4255202311
164	0.424632342
165	0.4233242725
166	0.4216446245
167	0.420504507
168	0.4191302941
169	0.4180051526
170	0.4172020409
171	0.4164417909
172	0.4152334906
173	0.4141573817
174	0.4130942186
175	0.4120842902
176	0.4113727754
177	0.4111255258
178	0.4105888761
179	0.4099615511
180	0.4096638919
181	0.4092693224
182	0.4082299214
183	0.4075264978
184	0.406354079
185	0.4047659528
186	0.4039472241
187	0.4029680983
188	0.402822999
189	0.401880446
190	0.4012309715
191	0.4008342241
192	0.4000397325
193	0.3996832526
194	0.3993395608
195	0.3984217003
196	0.3971131208
197	0.3963544665
198	0.39620479
199	0.3957592811
200	0.3952462348
201	0.3940249253
202	0.39357549
203	0.3922427946
204	0.3912509833
205	0.3907592243
206	0.3905243454
207	0.3899413486
208	0.3895120386
209	0.3886079054
210	0.3884753787
211	0.3882279141
212	0.3877358494
213	0.3871665035
214	0.3857230284
215	0.3849456239
216	0.3846179821
217	0.3837244103
218	0.3830972149
219	0.3825866543
220	0.3820942778
221	0.3814234234
222	0.3809003943
223	0.3806778861
224	0.3795035841
225	0.3782241122
226	0.3772275629
227	0.3767917554
228	0.3764723589
229	0.3760016132
230	0.375236652
231	0.374855369
232	0.3739064627
233	0.3736154028
234	0.3728244257
235	0.3720454207
236	0.3715660796
237	0.3714072825
238	0.3710745154
239	0.3704250733
240	0.3702832285
241	0.369882593
242	0.3688244555
243	0.3678375588
244	0.3666607766
245	0.3663683282
246	0.3656609199
247	0.3653154138
248	0.3649802977
249	0.3640885123
250	0.3639315573
251	0.3630566919
252	0.3624037432
253	0.3620447618
254	0.3614721464
255	0.3604060596
256	0.3602707988
257	0.3598338558
258	0.3595366165
259	0.3583738614
260	0.3579961854
261	0.3577007449
262	0.3576080939
263	0.3563918966
264	0.3561697789
265	0.3558018511
266	0.3556276383
267	0.3547054751
268	0.3539700262
269	0.3534030283
270	0.3529455178
271	0.3522085564
272	0.3519704234
273	0.3513855886
274	0.3509012232
275	0.3504174174
276	0.3500536779
277	0.3492357882
278	0.3490816165
279	0.3489262457
280	0.348484024
281	0.3482781214
282	0.3479298301
283	0.3475990697
284	0.3473420216
285	0.3464555692
286	0.3455266182
287	0.3453542898
288	0.344410123
289	0.3440249571
290	0.3434675675
291	0.342637255
292	0.3422487882
293	0.3421571225
294	0.341427849
295	0.3405751564
296	0.3399505526
297	0.3394596136
298	0.3385982531
299	0.3376724057
300	0.3372125527
301	0.3370960095
302	0.3369752117
303	0.3365929642
304	0.3361618571
305	0.3353194952
306	0.3348310515
307	0.3346145915
308	0.3343996524
309	0.3334279794
310	0.3329159004
311	0.3327582032
312	0.3324482382
313	0.3320491219
314	0.3312713298
315	0.3307870442
316	0.3301023374
317	0.3296093347
318	0.3293764088
319	0.3286918436
320	0.327812325
321	0.327246473
322	0.3268871087
323	0.3265003826
324	0.3259895247
325	0.3255969428
326	0.3254671898
327	0.3248665804
328	0.3244238026
329	0.3240439077
330	0.3236402537
331	0.3230858836
332	0.3229732362
333	0.3228768299
334	0.3224982075
335	0.3220586685
336	0.3213704209
337	0.3207051127
338	0.320284564
339	0.3200154299
340	0.3192928376
341	0.3186194577
342	0.3185440235
343	0.3181554601
344	0.3177347287
345	0.3172208792
346	0.3166740208
347	0.3165019208
348	0.3158633687
349	0.3156552275
350	0.3152899152
351	0.3150638698
352	0.3150364443
353	0.3147033077
354	0.3145037061
355	0.3144506311
356	0.3144117401
357	0.3142801143
358	0.3139316756
359	0.3137345068
360	0.3135916396
361	0.3131067268
362	0.3130671452
363	0.3129096726
364	0.3126189098
365	0.3124420473
366	0.3118835785
367	0.3115972735
368	0.3113551298
369	0.3106382444
370	0.310246459
371	0.3099694204
372	0.309644182
373	0.3094495894
374	0.3090251927
375	0.3088650648
376	0.3085297963
377	0.3082637258
378	0.3080881558
379	0.307558523
380	0.3070666464
381	0.3066228396
382	0.3063912736
383	0.306272901
384	0.3061452937
385	0.305764581
386	0.305413212
387	0.3050098673
388	0.3046359488
389	0.3038865026
390	0.3034599022
391	0.3032420522
392	0.3028519474
393	0.3024595135
394	0.3018570355
395	0.3014459176
396	0.3008736866
397	0.3002907305
398	0.2997606349
399	0.2994182737
400	0.2989624819
401	0.2987850909
402	0.2984528563
403	0.2980920153
404	0.297632571
405	0.2971929596
406	0.2968863037
407	0.2966830812
408	0.2965128439
409	0.2962129255
410	0.2956943467
411	0.2953161784
412	0.294941737
413	0.2945125559
414	0.2942536664
415	0.294112538
416	0.2935656252
417	0.2929770575
418	0.29297261
419	0.2925913315
420	0.2923432519
421	0.2921735706
422	0.2920383443
423	0.2917708659
424	0.2913823596
425	0.2908576219
426	0.2907201522
427	0.2903315155
428	0.2902392173
429	0.2899795566
430	0.2897290314
431	0.2895967064
432	0.2891311624
433	0.2889304836
434	0.2884990153
435	0.2880285616
436	0.2877606704
437	0.2876776678
438	0.2873877922
439	0.2868911487
440	0.2868658365
441	0.2864590932
442	0.2862718806
443	0.2860395229
444	0.2856245318
445	0.285544395
446	0.2851422297
447	0.284655047
448	0.2840620543
449	0.2839851226
450	0.2836401944
451	0.2834700966
452	0.2833841034
453	0.2829595432
454	0.2826026814
455	0.2824283553
456	0.282098719
457	0.2820383684
458	0.2818665472
459	0.2814373222
460	0.2812507644
461	0.2810073875
462	0.2809981623
463	0.2807649534
464	0.2806120557
465	0.2803370321
466	0.2802748307
467	0.2800113584
468	0.2795664533
469	0.2794122032
470	0.279233298
471	0.2787387244
472	0.2781017619
473	0.2777090453
474	0.2775829773
475	0.2773806035
476	0.2770441979
477	0.2767399478
478	0.2766086559
479	0.2763091491
480	0.2761337879
481	0.2759547102
482	0.2757571344
483	0.2755591408
484	0.2751090103
485	0.2748373363
486	0.2743668631
487	0.2742700032
488	0.2740123622
489	0.2737591093
490	0.2737346716
491	0.2735820704
492	0.2732909989
493	0.2732700687
494	0.2732071937
495	0.2729605762
496	0.2728922211
497	0.272526559
498	0.2722374714
499	0.2719582617
